"FCAC_RN,C,4","ORGBASE_RN,C,4","ANK_RN,C,4","CATALOG_RN,C,4","FCAC_PREFI,C,4","FCAC_NUM,C,10","POST_RN,C,4","SUBDIV_RN,C,4","VIDISP_RN,C,4","ISMAINISP,L","ISCOMBISP,L","ISORDISP,L","TIPDOL_RN,C,4","KATPER_RN,C,4","ORDERNUM,C,15","ORDERDATE,D","STARTDATE,D","ENDDATE,D","NOTE,M","MARK1_RN,C,4","MARK2_RN,C,4","MARK3_RN,C,4","MARK4_RN,C,4","MARK5_RN,C,4","SDOC_RN,C,4","SDOC_NUM,C,10","SDOC_DATE,D","SDOCORG_RN,C,4","EDOC_RN,C,4","EDOC_NUM,C,10","EDOC_DATE,D","EDOCORG_RN,C,4"
00H?,,0018,00Gh,033,      0740,007?,000a,0005,??????,????,????,003?,000L,,,01.01.2000,31.01.2011,,,,,,,,,,,0009,?-25,27.01.2011,
00H?,,000U,00Gh,033,      1349,008?,000a,0005,??????,????,????,000u,000N,,,21.05.2001,10.08.2009,,,,,,,,,,,0009,?-388,04.08.2009,
00I8,,00Ae,00c?,00,      0050,006?,001?,0005,??????,????,????,003?,0002,4/?,25.03.1996,25.03.1996,31.12.8888,,,,,,,,,,,,,,
00IA,,002R,00JD,,        47,006u,0011,0005,??????,????,????,003?,0002,?-38,19.03.2001,20.03.2001,31.12.8888,,,,,,,,,,,,,,
00IB,,00Af,00c?,,        48,006?,001?,0005,??????,????,????,003?,0002,?-86,13.07.1993,02.07.1993,31.12.8888,,,,,,,,,,,,,,
00ID,,00Ai,00JD,,        50,006t,0011,0005,??????,????,????,002D,0002,?-127,19.08.1988,15.08.1988,31.12.8888,,,,,,,,,,,,,,
00IE,,00Aj,00JD,,        51,006t,0011,0005,??????,????,????,002D,0002,,,01.01.2000,31.12.8888,,,,,,,,,,,,,,
00IF,,00Ak,00JD,,        52,006t,0011,0005,??????,????,????,002D,0002,36,15.03.1982,12.03.1982,31.12.8888,,,,,,,,,,,,,,
00IG,,00Ar,00JD,,        53,006s,0011,0005,??????,????,????,0025,0002,,,01.01.2008,24.05.2010,,,,,,,,,,,0009,?-235,20.05.2010,
00IH,,00At,00JD,,        54,006t,0011,0005,??????,????,????,002D,0002,,,01.01.2000,31.12.8888,,,,,,,,,,,,,,
00II,,00B2,00c?,,        55,006?,001?,0005,??????,????,????,003?,0002,,,01.01.2008,22.06.2012,,,,,,,,,,,0009,?-442,13.06.2012,
00IL,,00B6,00JD,,        58,006z,0011,0005,??????,????,????,001k,0003,,,01.01.2008,03.02.2012,,,,,,,,,,,0009,?-66,31.01.2012,
00IM,,00DB,00c?,,        59,006?,001?,0005,??????,????,????,003?,0003,?-39,20.03.2001,21.03.2001,31.12.8888,,,,,,,,,,,,,,
00IN,,00DJ,00c?,,        60,006?,0011,0005,??????,????,????,001m,0003,?-65,31.05.2001,01.06.2001,31.12.2013,,,,,,,,,,,0009,?-931,25.12.2013,
00IO,,00B8,00J6,,        61,007?,001D,0005,??????,????,????,0035,000Q,,,01.01.2008,31.12.8888,,,,,,,,,,,,,,
00IP,,00B9,00JD,,        62,006?,0011,0005,??????,????,????,001m,0003,?-125,23.10.2001,24.10.2001,31.12.8888,,,,,,,,,,,,,,
00IQ,,00BF,00c?,,        63,00A0,001?,0005,??????,????,????,000o,0003,?-54,24.05.2004,01.06.2004,31.12.8888,,,,,,,,,,,,,,
00IR,,00Ka,00JD,,        64,006?,0011,0005,??????,????,????,001r,0003,?-129,17.11.2004,18.11.2004,31.12.8888,,,,,,,,,,,,,,
00IS,,0082,00JD,,        65,006?,0011,0005,??????,????,????,001m,0003,171/?,20.09.2005,21.09.2005,31.12.8888,,,,,,,,,,,,,,
00IV,,00K7,00w?,,        66,006H,001m,0005,??????,????,????,001n,0003,?-41,16.04.2004,19.04.2004,31.12.8888,,,,,,,,,,,,,,
00IW,,00Li,00w?,,        67,009?,001m,0005,??????,????,????,000o,0003,?-268,05.09.2006,06.09.2006,31.12.8888,,,,,,,,,,,,,,
00IX,,001U,00w?,,        68,006D,001m,0005,??????,????,????,003?,0001,?-118,04.11.1994,03.10.1994,31.12.8888,,,,,,,,,,,,,,
00IY,,001V,00w?,,        69,006D,001m,0005,??????,????,????,003?,0001,?-175,27.05.2008,01.09.2007,31.12.8888,,,,,,,,,,,,,,
00IZ,,001W,00w?,,        70,006D,001m,0005,??????,????,????,003?,0001,?-85,12.07.1993,22.07.1993,31.12.8888,,,,,,,,,,,,,,
00Ia,,009e,00c?,,        71,008z,001?,0005,??????,????,????,0017,0001,30,09.11.1964,29.10.1964,31.12.8888,,,000i,,,,,,,,,,,
00Ib,,001b,00w?,,        72,006C,001m,0005,??????,????,????,002P,000K,133,22.09.1986,22.09.1986,31.12.8888,,,000i,,,,,,,,,,,
00Ic,,001f,00w?,2,        39,006D,001m,0005,??????,????,????,003?,0001,14/?,01.02.1999,01.02.1999,31.12.8888,,,000i,,,,,,,,,,,
00Id,,00IP,00w?,,        74,006D,001m,0005,??????,????,????,003?,0001,?-198,06.07.2006,01.08.2006,31.12.8888,,,,,,,,,,,,,,
00Ie,,002D,00w?,,        75,006G,001m,0005,??????,????,????,002F,0002,63/?,22.06.1992,01.07.1992,31.12.8888,,,,,,,,,,,,,,
00If,,002F,00w?,,        76,006G,001m,0005,??????,????,????,002F,0002,110/?,26.08.1993,01.09.1993,31.12.8888,,,000i,,,,,,,,,,,
00Ig,,002G,00w?,,        77,006G,001m,0005,??????,????,????,002F,0002,198,02.10.1989,03.10.1989,31.12.8888,,,000i,,,,,,,,,,,
00Ih,,002H,00w?,,        78,006G,001m,0005,??????,????,????,002F,0002,,,01.09.2007,29.02.2012,,,000i,,,,,,,,0009,?-166,29.02.2012,
00Ii,,003H,00w?,,        79,006E,001m,0005,??????,????,????,0025,0002,,,01.09.2007,21.05.2009,,,000i,,,,,,,,0009,?-212,12.05.2009,
00Ij,,002J,00w?,,        80,006G,001m,0005,??????,????,????,002F,0002,63,22.06.1992,22.06.1992,31.12.8888,,,000i,,,,,,,,,,,
00Ik,,002L,00w?,,        81,006G,001m,0005,??????,????,????,002F,0002,17/?,14.02.1996,14.02.1996,31.12.8888,,,,,,,,,,,,,,
00Il,,002P,00w?,,        82,005?,000j,0005,??????,????,????,002D,0002,,,01.01.2008,30.03.2011,,,,,,,,,,,0009,?-113,17.03.2011,
00Im,,002a,00w?,,        83,006E,001m,0005,??????,????,????,0025,0002,,,01.09.2007,29.02.2012,,,,,,,,,,,0009,?-166,29.02.2012,
00In,,002h,00w?,,        84,006F,001m,0005,??????,????,????,002D,0002,,,01.09.2007,16.03.2012,,,,,,,,,,,0009,?-190,11.03.2012,
00Ir,,002Z,00w?,,        85,006G,001m,0005,??????,????,????,002F,0002,79/?,27.06.2002,01.07.2002,31.12.8888,,,,,,,,,,,,,,
00Is,,00IQ,00w?,,        86,006G,001m,0005,??????,????,????,002F,0002,17/?,09.02.2004,09.02.2004,31.12.8888,,,,,,,,,,,,,,
00It,,00K2,00w?,,        87,006G,001m,0005,??????,????,????,002F,0002,?-72,30.06.2004,01.07.2004,31.12.8888,,,,,,,,,,,,,,
00Iw,,00Lr,00w?,,        89,006G,001m,0005,??????,????,????,002F,0002,?-115,20.04.2007,23.04.2007,31.12.8888,,,,,,,,,,,,,,
00Ix,,00Lo,00w?,,        90,006F,001m,0005,??????,????,????,002D,0002,,,01.09.2007,30.04.2010,,,,,,,,,,,0009,?-196,28.04.2010,
00Iy,,001R,00w?,,        91,006D,001m,0005,??????,????,????,003?,0001,116,03.08.1988,02.08.1988,31.12.8888,,,000i,,,,,,,,,,,
00I?,,001B,00Se,,        93,007?,001o,0005,??????,????,????,002e,000N,,,01.09.2007,13.05.2009,,,,,,,,,,,0009,?-200,05.05.2009,
00I?,,00G9,00Ip,,        94,007d,000y,0005,??????,????,????,001F,0001,,,01.01.2006,30.11.2011,,,,,,,,,,,0009,?-667,30.11.2011,
00I?,,008u,00Ia,,        96,008T,001?,0005,??????,????,????,0019,0001,,,01.09.2007,10.01.2009,,,,,,,,,,,0009,?-505,23.12.2008,
00I?,,008w,00Ia,,        97,008T,001?,0005,??????,????,????,0019,0001,?-135,02.09.1988,05.09.1988,31.12.8888,,,,,,,,,,,,,,
00I?,,00GA,00Ip,,        98,007c,000y,0005,??????,????,????,003c,000K,,,01.01.2007,31.12.2011,,,,,,,,,,,0009,?-667,30.11.2011,
00I?,,00GA,00Ip,?,      1178,,000w,0003,????,????,????,001I,0001,,,01.01.2007,31.12.2011,,,,,,,,,,,0009,?-667,30.11.2011,
00I?,,00H9,00wr,,       100,00BU,002f,0005,??????,????,????,005H,000R,?-52,19.05.2004,20.05.2004,31.12.8888,,,,,,,,,,,,,,
00I?,,00Y?,00So,,       101,,001t,0005,??????,????,????,0032,0007,,,01.01.2007,30.04.2008,,,,,,,,,,,,,,
00I?,,00M?,00So,,       102,,001t,0005,??????,????,????,0032,0007,,,01.08.2007,07.03.2008,,,,,,,,,,,,,,
00I?,,00H0,00wr,,       103,00BU,002f,0005,??????,????,????,005H,000R,87,31.08.1992,01.01.2007,31.12.8888,,,,,,,,,,,,,,
00I?,,00Gw,00So,,       104,007t,001t,0005,??????,????,????,002X,000O,,,01.01.2007,25.08.2008,,,,,,,,,,,,,,
00I?,,00H1,00So,,       105,007v,002f,0005,??????,????,????,0032,000R,,,01.01.2007,05.07.2012,,,,,,,,,,,0009,?-442,13.06.2012,
00I?,,00H6,00wr,,       106,00BU,002f,0005,??????,????,????,005H,000R,?-121,09.10.2002,09.10.2002,31.12.8888,,,,,,,,,,,,,,
00I?,,00GB,00Ip,,       108,007f,000y,0005,??????,????,????,003?,0002,?-124,29.09.1993,01.10.1993,31.12.8888,,,,,,,,,,,,,,
00J3,,00GD,00Ip,,       110,007e,000y,0005,??????,????,????,0025,0002,181,30.09.1976,30.09.1976,31.12.8888,,,,,,,,,,,,,,
00JO,,00GE,00Ip,,       121,007f,000y,0005,??????,????,????,003?,0002,158/?,28.09.1998,01.10.1998,31.12.8888,,,,,,,,,,,,,,
00JR,,00NR,00Ip,,       122,007g,000y,0005,??????,????,????,001l,0003,,,01.09.2007,06.11.2008,,,,,,,,,,,0009,?-439,07.11.2008,
00JV,,00N8,00Ip,,       123,00A?,000y,0005,??????,????,????,005f,000N,247/?,15.08.2006,17.08.2006,31.12.8888,,,,,,,,,,,,,,
00JX,,00N8,00Ip,?,       976,,000u,0003,????,????,????,003w,0007,,,01.09.2007,31.12.2007,,,,,,,,,,,,,,
00Jc,,00I7,00JB,,       128,005A,001G,0005,??????,????,????,000I,000U,,,01.09.2007,08.07.2010,,,,,,,,,,,0009,?-318,05.07.2010,
00Jd,,00I9,00c?,,       129,007m,000z,0005,??????,????,????,0029,0002,58,15.04.1992,16.04.1992,31.12.8888,,,,,,,,,,,,,,
00Je,,00IC,00JB,,       130,00Bj,001G,0005,??????,????,????,005?,000U,?-51,18.04.1995,17.04.1995,31.12.8888,,,,,,,,,,,,,,
00Jt,,00FO,00Iw,,       131,007?,002p,0005,??????,????,????,003r,000R,?-152,05.10.2000,06.10.2000,31.12.8888,,,,,,,,,,,,,,
00Ju,,00FJ,00Iw,,       132,007?,001D,0005,??????,????,????,003A,000R,,,01.09.2007,01.12.2008,,,,,,,,,,,0009,?-479,09.12.2008,
00J?,,00Fa,00Iw,,       133,007?,001D,0005,??????,????,????,003?,000R,?-139,22.11.2002,22.11.2002,31.12.8888,,,,,,,,,,,,,,
00J?,,00Fb,00Iw,,       134,007?,001D,0005,??????,????,????,003B,000R,,,01.09.2007,12.07.2010,,,,,,,,,,,0009,?-325,07.07.2010,
00J?,,00Iw,00Iw,,       135,007?,002p,0005,??????,????,????,004f,000R,,,01.09.2007,30.04.2009,,,,,,,,,,,0009,?-191,28.04.2009,
00J?,,00JF,00J9,,       136,007?,002p,0005,??????,????,????,003r,000R,?-120,22.10.2004,27.10.2004,31.12.8888,,,,,,,,,,,,,,
00J?,,00Mo,00Iw,,       138,007?,001D,0005,??????,????,????,003B,000R,,,01.09.2007,26.08.2011,,,,,,,,,,,0009,?-411,11.08.2011,
00J?,,00MC,00Iw,,       139,007?,001D,0005,??????,????,????,003A,000R,,,01.09.2007,12.02.2010,,,,,,,,,,,0009,?-66,11.02.2010,
00J?,,00MP,00Iw,,       140,007?,001D,0005,??????,????,????,003L,000R,,,01.09.2007,05.06.2009,,,,,,,,,,,0009,?-257,04.06.2009,
00J?,,00NG,00Iw,,       141,,001D,0005,??????,????,????,003r,0007,,,03.10.2007,29.02.2008,,,,,,,,,,,,,,
00J?,,003i,00J8,,       142,,001?,0005,??????,????,????,003P,0007,,,01.09.2007,09.03.2008,,,,,,,,,,,,,,
00J?,,00Hc,00Iv,,       143,0082,001?,0005,??????,????,????,003R,000R,,,01.09.2007,30.06.2012,,,,,,,,,,,0009,?-484,28.06.2012,
00J?,,00Hd,00Iv,,       144,0082,001?,0005,??????,????,????,003R,000R,6,22.01.1990,21.01.1990,31.12.8888,,,,,,,,,,,,,,
00J?,,00Hf,00Iv,,       145,0082,001?,0005,??????,????,????,003R,000R,,,01.09.2007,31.12.2009,,,,,,,,,,,0009,?-626,24.12.2009,
00J?,,00Hg,00Iv,,       146,0082,001?,0005,??????,????,????,003R,000R,92/?,11.08.1994,13.08.1994,31.12.8888,,,,,,,,,,,,,,
00J?,,00Hi,00Iv,,       147,0082,001?,0005,??????,????,????,003R,000R,,,01.09.2007,28.02.2010,,,,,,,,,,,0009,?-74,16.02.2010,
00J?,,00Hj,00Iv,,       148,0082,001?,0005,??????,????,????,003R,000R,,,01.09.2007,31.12.2010,,,,,,,,,,,0009,?-632,21.12.2010,
00J?,,00Hm,00Iv,,       149,0083,001?,0005,??????,????,????,003t,000Q,,,01.09.2007,19.08.2011,,,,,,,,,,,0009,?-422,16.08.2011,
00J?,,00Hq,00Iv,,       150,0084,001?,0005,??????,????,????,003O,000Q,,,01.09.2007,14.09.2009,,,,,,,,,,,0009,?-434,03.09.2009,
00J?,,00L?,00Iv,,       151,0083,001?,0005,??????,????,????,003t,000Q,,,01.09.2007,03.03.2011,,,,,,,,,,,0009,?-84,01.03.2011,
00J?,,00M?,00Iv,,       152,,001?,0005,??????,????,????,003O,0007,,,01.09.2007,11.06.2008,,,,,,,,,,,,,,
00J?,,00L?,00Iv,,       153,0083,001?,0005,??????,????,????,003t,000Q,?-236,03.08.2006,02.08.2006,31.12.8888,,,,,,,,,,,,,,
00J?,,00Hu,00Ir,,       154,007?,001D,0005,??????,????,????,0033,000M,,,01.09.2007,22.08.2008,,,,,,,,,,,,,,
00J?,,00Hv,00J9,,       155,00A?,002p,0005,??????,????,????,002i,000N,?-42,23.03.2000,24.03.2000,31.12.8888,,,,,,,,,,,,,,
00J?,,00Hz,00Ir,,       156,007?,001r,0005,??????,????,????,005?,000R,?-120,09.09.1996,10.09.1996,31.12.8888,,,,,,,,,,,,,,
00J?,,00Hw,00U8,,       157,007?,001r,0005,??????,????,????,0034,000G,,,01.09.2007,07.10.2008,,,,,,,,,,,,,,
00J?,,00Hx,00XP,,       158,0087,001?,0005,??????,????,????,004h,000N,,,01.09.2007,31.08.2011,,,,,,,,,,,0009,?-424,17.08.2011,
00J?,,00Hy,00U8,,       159,008?,002p,0005,??????,????,????,004Y,000N,,,01.09.2007,20.07.2012,,,,,,,,,,,0009,?-514,09.07.2012,
00J?,,001s,00Ir,,       160,007?,001r,0005,??????,????,????,002U,000U,?-167,19.10.1998,19.10.1998,31.12.8888,,,,,,,,,,,,,,
00J?,,00Dx,00J6,,       161,007?,001D,0005,??????,????,????,003D,000R,116/?,30.09.1994,01.09.2007,31.12.8888,,,,,,,,,,,,,,
00J?,,00I1,00XP,,       162,00A?,001?,0005,??????,????,????,005g,000M,?-53,03.05.2001,03.05.2001,31.12.8888,,,,,,,,,,,,,,
00J?,,00I3,00Ir,,       163,007?,001r,0005,??????,????,????,002V,000U,,,01.09.2007,15.08.2010,,,,,,,,,,,0009,?-401,06.08.2010,
00K0,,00I6,00Ir,,       164,007?,001r,0005,??????,????,????,0030,000G,,,01.09.2007,20.10.2008,,,,,,,,,,,,,,
00K1,,00L?,00U8,,       165,007?,001D,0005,??????,????,????,002p,000M,,,01.09.2007,09.06.2012,,,,,,,,,,,0009,?-439,09.06.2012,
00K4,,00MQ,00XP,,       166,0087,001?,0005,??????,????,????,004h,000N,?-244,14.08.2006,15.08.2006,31.12.8888,,,,,,,,,,,,,,
00K6,,00Ny,00U8,,       167,007?,001r,0005,??????,????,????,004X,000N,,,01.09.2007,24.10.2011,,,,,,,,,,,0009,?-546,12.10.2011,
00K7,,00Nz,00Ir,,       168,007?,001r,0005,??????,????,????,002h,000F,,,01.09.2007,24.06.2010,,,,,,,,,,,0009,?-287,21.06.2010,
00K8,,00D7,00J9,,       169,007?,001D,0005,??????,????,????,0039,000R,,,01.09.2007,16.11.2010,,,,,,,,,,,0009,?-567,12.11.2010,
00K9,,00D8,00J6,,       170,007?,001D,0005,??????,????,????,0035,000Q,20/?,23.02.1996,01.03.1996,31.12.8888,,,,,,,,,,,,,,
00KA,,00D9,00J9,,       171,007?,001D,0005,??????,????,????,003C,000Q,?-142,15.09.2000,16.09.2000,30.08.2013,,,,,,,,,,,0009,?-651,28.08.2013,
00KB,,00DD,00J6,,       172,007?,001D,0005,??????,????,????,0035,000Q,47/?,12.04.2001,12.04.2001,31.12.8888,,,,,,,,,,,,,,
00KC,,00DF,00J9,,       173,007?,001D,0005,??????,????,????,0037,000Q,,,01.09.2007,05.05.2009,,,,,,,,,,,0009,?-183,23.04.2009,
00KD,,00DH,00J9,,       174,007?,001D,0005,??????,????,????,003C,000Q,?-65,31.05.2001,04.06.2001,13.02.2013,,,,,,,,,,,0009,?-138,15.02.2013,
00KH,,00DL,00J9,,       175,007?,001D,0005,??????,????,????,0035,000Q,,,01.09.2007,31.07.2012,,,,,,,,,,,0009,?-564,25.07.2012,
00KI,,00DM,00J9,,       176,007?,001D,0005,??????,????,????,0035,000Q,?-129,01.11.2001,02.11.2001,18.09.2013,,,,,,,,,,,0009,?-708,20.09.2013,
00KJ,,00DN,00J6,,       177,007?,001D,0005,??????,????,????,0035,000Q,21.10.02,21.10.2002,22.01.2002,31.12.8888,,,,,,,,,,,,,,
00KK,,00DO,00J9,,       178,007?,001D,0005,??????,????,????,0035,000Q,,,01.09.2007,14.04.2011,,,,,,,,,,,0009,?-108,16.03.2011,
00KL,,00DR,00J6,,       179,007?,001D,0005,??????,????,????,0035,000Q,?-21,14.02.2002,12.02.2002,31.12.8888,,,,,,,,,,,,,,
00KN,,00DW,00J9,,       180,007?,001D,0005,??????,????,????,003C,000Q,,,01.09.2007,31.01.2011,,,,,,,,,,,0009,?-25,27.01.2011,
00KO,,00M2,00J9,,       181,007?,001D,0005,??????,????,????,003C,000Q,?-116,21.04.2006,19.04.2006,30.08.2013,,,,,,,,,,,0009,?-651,28.08.2013,
00KP,,00Da,00J6,,       182,007?,001D,0005,??????,????,????,0035,000Q,?-11,05.02.2003,05.02.2003,31.12.8888,,,,,,,,,,,,,,
00KQ,,00Dd,00J9,,       183,007?,001D,0005,??????,????,????,003C,000Q,,,01.09.2007,21.07.2011,,,,,,,,,,,0009,359/?,20.07.2011,
00KR,,00De,00J9,,       184,,001D,0005,??????,????,????,003C,0007,,,01.09.2007,16.04.2008,,,,,,,,,,,,,,
00KT,,00It,00J9,,       185,007?,001D,0005,??????,????,????,0035,000Q,,,01.09.2007,12.10.2012,,,,,,,,,,,0009,?-822,11.10.2012,
00KU,,00JG,00J9,,       186,007?,001D,0005,??????,????,????,003C,000Q,116/?,14.10.2004,15.10.2004,30.08.2013,,,,,,,,,,,0009,?-651,28.08.2013,
00KV,,00Lc,00J9,,       187,007?,001D,0005,??????,????,????,003C,000Q,,,01.01.2007,29.08.2008,,,,,,,,,,,,,,
00KW,,00NW,00J9,,       188,007?,001D,0005,??????,????,????,003C,000Q,?-78,11.05.2005,11.05.2005,20.02.2013,,,,,,,,,,,0009,?-132,14.02.2013,
00Kb,,00M?,00J6,,       189,007?,001D,0005,??????,????,????,003C,000Q,?-42,07.02.2006,06.02.2006,31.12.8888,,,,,,,,,,,,,,
00Kc,,00Lh,00J9,,       190,007?,001D,0005,??????,????,????,003G,000Q,?-153,24.05.2006,23.05.2006,01.10.2013,,,,,,,,,,,0009,?-729,27.09.2013,
00Ke,,00L?,00c?,,       191,006?,001?,0005,??????,????,????,003?,0003,?-202,11.07.2006,11.07.2006,31.12.8888,,,,,,,,,,,,,,
00Kf,,00M?,00J9,,       192,007?,001D,0005,??????,????,????,003G,000Q,,,01.09.2007,13.09.2010,,,,,,,,,,,0009,?-468,13.09.2010,
00Kj,,00HF,00J8,,       194,006?,000x,0005,??????,????,????,001G,0001,,,01.09.2007,25.12.2011,,,,,,,,,,,0009,?-667,30.11.2011,
00Kk,,00HD,00J8,,      7368,006?,000x,0005,??????,????,????,001G,0001,1,04.01.1988,30.12.1987,31.12.8888,,,,,,,,,,,,,,
00Kl,,00HG,00J8,,       196,006?,000x,0005,??????,????,????,0042,000K,,,01.09.2007,25.12.2011,,,,,,,,,,,0009,?-667,30.11.2011,
00Km,,00HH,00J8,,       197,006?,000x,0005,??????,????,????,001G,0001,110,12.08.1991,12.08.1991,31.12.8888,,,,,,,,,,,,,,
00Kn,,00HE,00J8,,       198,006?,000x,0005,??????,????,????,001G,0001,,,01.09.2007,11.04.2011,,,,,,,,,,,0009,?-146,04.04.2011,
00Kr,,00Ht,00U8,,       199,007?,001D,0005,??????,????,????,0033,000M,119,14.11.1991,15.11.1991,31.12.8888,,,,,,,,,,,,,,
00Ku,,00Mp,00Ir,,       200,,001r,0005,??????,????,????,003?,0007,,,01.09.2007,29.06.2008,,,,,,,,,,,,,,
00Kv,,00HI,00J8,,       201,006?,000x,0005,??????,????,????,001G,0001,?-91,24.07.2002,29.07.2002,31.12.8888,,,,,,,,,,,,,,
00K?,,00Nt,00J8,,       202,006?,000x,0005,??????,????,????,001G,0001,,,01.09.2007,13.02.2009,,,,,,,,,,,0009,?-58,12.02.2009,
00K?,,00Mm,00J8,,       203,006?,000x,0005,??????,????,????,001G,0001,?-204,12.07.2006,17.07.2006,31.12.8888,,,,,,,,,,,,,,
00K?,,00M?,00J8,,       204,006?,000x,0005,??????,????,????,001G,0001,?-267,10.08.2007,06.08.2007,31.12.8888,,,,,,,,,,,,,,
00K?,,000l,00J8,,       205,006?,000x,0005,??????,????,????,002H,0002,89/?,03.08.1994,08.08.1994,31.12.8888,,,,,,,,,,,,,,
00K?,,00HK,00J8,,       206,006?,000x,0005,??????,????,????,002H,0002,107/?,24.09.1985,16.09.1985,31.12.8888,,,,,,,,,,,,,,
00K?,,00HN,00J8,,       207,,000x,0005,??????,????,????,002H,0002,,,01.09.2007,17.06.2008,,,,,,,,,,,,,,
00K?,,00HO,00J8,,       208,006?,000x,0005,??????,????,????,002H,0002,,,01.09.2007,14.03.2012,,,,,,,,,,,0009,?-198,13.03.2012,
00K?,,00G9,00Ip,?,      1231,007d,000y,0003,????,????,????,001F,0001,,,01.09.2007,30.11.2011,,,,,,,,,,,0009,?-667,30.11.2011,
00K?,,00HP,00J8,,       210,006?,000x,0005,??????,????,????,002H,0002,?-151,31.10.1995,01.11.1995,31.12.8888,,,,,,,,,,,,,,
00K?,,00HQ,00J8,,       211,006?,000x,0005,??????,????,????,002H,0002,102/?,06.08.1993,02.08.1993,31.12.8888,,,,,,,,,,,,,,
00K?,,00HM,00J8,,       212,006?,000x,0005,??????,????,????,002H,0002,,,01.09.2007,04.12.2010,,,,,,,,,,,0009,?-583,23.11.2010,
00K?,,00HR,00J8,,       213,006?,000x,0005,??????,????,????,002H,0002,45,03.04.1995,03.04.1995,31.12.8888,,,,,,,,,,,,,,
00K?,,00HT,00J8,,       214,006?,000x,0005,??????,????,????,002H,0002,,,01.09.2007,12.02.2010,,,,,,,,,,,0009,?-61,08.02.2010,
00K?,,00HU,00J8,,       215,006?,000x,0005,??????,????,????,002H,0002,?-78,26.06.2002,01.07.2002,31.12.8888,,,,,,,,,,,,,,
00K?,,00Ha,00J8,,       216,006?,000x,0005,??????,????,????,0044,0003,?-72,17.05.1995,22.05.1995,31.12.8888,,,,,,,,,,,,,,
00K?,,00Hb,00J8,,       217,006?,000x,0005,??????,????,????,0044,0003,?-95,24.07.1997,21.07.1997,31.12.8888,,,,,,,,,,,,,,
00K?,,00HX,00J8,,       218,006?,000x,0005,??????,????,????,0044,0003,137/?,18.11.2002,18.11.2002,31.12.8888,,,,,,,,,,,,,,
00K?,,00HZ,00J8,,       219,006?,000x,0005,??????,????,????,0044,0003,?-34,22.03.2004,23.03.2004,31.12.8888,,,,,,,,,,,,,,
00K?,,00MO,00J8,,       220,006?,000x,0005,??????,????,????,0044,0003,,,01.09.2007,06.08.2012,,,,,,,,,,,0009,?-719,05.09.2012,
00K?,,00AH,00c?,,       221,006?,0010,0005,??????,????,????,0029,0002,?-120,23.08.1999,24.08.1999,31.12.8888,,,,,,,,,,,,,,
00K?,,00AI,00c?,,       222,006?,0010,0005,??????,????,????,0029,0002,?-151,21.09.1998,21.09.1998,31.12.8888,,,,,,,,,,,,,,
00K?,,00AJ,00c?,,       223,006?,0010,0005,??????,????,????,0029,0002,,,09.01.2008,14.09.2012,,,,,,,,,,,0009,?-729,10.09.2012,
00K?,,00AL,00c?,,       224,006?,0010,0005,??????,????,????,0029,0002,?-75,03.06.1996,03.06.1996,31.12.8888,,,,,,,,,,,,,,
00K?,,00AM,00c?,,       225,006?,0010,0005,??????,????,????,0029,0002,118,16.10.1985,14.10.1985,31.12.8888,,,,,,,,,,,,,,
00K?,,00AN,00c?,,       226,006?,0010,0005,??????,????,????,0029,0002,84/?,21.07.1994,19.07.1994,31.12.8888,,,,,,,,,,,,,,
00K?,,00AO,00c?,,       227,006?,0010,0005,??????,????,????,0025,0002,?-197,01.12.1998,09.12.1998,31.12.8888,,,,,,,,,,,,,,
00K?,,00A2,00J9,?,       228,007?,001D,0005,??????,????,????,003C,000Q,?-30,28.02.1995,02.03.1995,13.02.2013,,,,,,,,,,,0009,?-138,15.02.2013,
00K?,,00JL,00c?,,       229,006?,0010,0005,??????,????,????,002a,0003,?-93,26.08.2004,02.09.2004,31.12.8888,,,,,,,,,,,0009,?-296,07.08.2008,
00K?,,009o,00JD,,       230,006q,0011,0005,??????,????,????,001F,0001,?-37,14.03.2000,15.03.2000,31.12.8888,,,,,,,,,,,,,,
00K?,,009r,00JB,,       231,005A,001G,0005,??????,????,????,000I,000U,,,09.01.2008,29.06.2012,,,,,,,,,,,0009,?-489,29.06.2012,
00K?,,009s,00JH,,       232,006q,0011,0005,??????,????,????,001F,0001,,,09.01.2008,03.10.2008,,,,,,,,,,,,,,
00K?,,009u,00JD,,       233,006q,0011,0005,??????,????,????,001F,0001,20,03.03.1987,01.03.1987,31.12.8888,,,,,,,,,,,,,,
00K?,,009w,00JH,,       234,006r,0011,0005,??????,????,????,003?,0001,,,09.01.2008,15.07.2010,,,,,,,,,,,0009,?-353,19.07.2010,
00K?,,009x,00JD,,       235,006q,0011,0005,??????,????,????,001F,0001,93,30.05.1979,28.05.1979,31.12.8888,,,,,,,,,,,,,,
00K?,,009y,00JD,,       236,006q,0011,0005,??????,????,????,001F,0001,?-126,15.12.2003,15.12.2003,31.12.8888,,,,,,,,,,,,,,
00K?,,00Mi,00JD,,       237,006q,0011,0005,??????,????,????,001F,0001,?-252,31.07.2007,01.08.2007,31.12.8888,,,,,,,,,,,,,,
00K?,,000r,00c?,,       238,006?,001?,0005,??????,????,????,002G,0002,40/?,20.03.1997,24.03.1997,31.12.8888,,,,,,,,,,,,,,
