"FCAC_RN,C,4","ORGBASE_RN,C,4","ANK_RN,C,4","CATALOG_RN,C,4","FCAC_PREFI,C,4","FCAC_NUM,C,10","POST_RN,C,4","SUBDIV_RN,C,4","VIDISP_RN,C,4","ISMAINISP,L","ISCOMBISP,L","ISORDISP,L","TIPDOL_RN,C,4","KATPER_RN,C,4","ORDERNUM,C,15","ORDERDATE,D","STARTDATE,D","ENDDATE,D","NOTE,M","MARK1_RN,C,4","MARK2_RN,C,4","MARK3_RN,C,4","MARK4_RN,C,4","MARK5_RN,C,4","SDOC_RN,C,4","SDOC_NUM,C,10","SDOC_DATE,D","SDOCORG_RN,C,4","EDOC_RN,C,4","EDOC_NUM,C,10","EDOC_DATE,D","EDOCORG_RN,C,4"
00P?,,006x,00Ib,,       649,005d,000g,0005,??????,????,????,002B,0002,,,01.09.2007,01.12.2011,,,,,,,,,,,0009,?-656,25.11.2011,
00P?,,006z,00Ib,,       650,005d,000g,0005,??????,????,????,002B,0002,?-92,22.06.1998,23.06.1998,31.12.8888,,,,,,,,,,,,,,
00P?,,0071,00Ib,,       651,000?,000g,0005,??????,????,????,002D,0002,241,01.12.1989,01.12.1989,31.12.8888,,,,,,,,,,,,,,
00P?,,0073,00Ib,,       652,000?,000g,0005,??????,????,????,002D,0002,67,04.07.1991,03.07.1991,31.12.8888,,,,,,,,,,,0009,?-581,23.11.2010,
00P?,,0075,00JB,,       653,005D,001G,0005,??????,????,????,003?,000U,28/?,15.03.1993,15.03.1993,31.12.8888,,,,,,,,,,,,,,
00P?,,0077,00JM,,       654,008x,001?,0005,??????,????,????,001v,0002,44/?,02.04.2002,02.04.2002,31.12.8888,,,,,,,,,,,,,,
00P?,,00J6,00Ib,,       655,,000g,0005,??????,????,????,002D,0002,,,01.09.2007,07.06.2008,,,,,,,,,,,,,,
00P?,,00Nb,00Ib,,       658,,000g,0005,??????,????,????,002D,0002,,,01.09.2007,28.04.2008,,,,,,,,,,,,,,
00P?,,00Lv,00Ib,,       659,005b,000g,0005,??????,????,????,003l,0002,?-165,12.09.2005,13.09.2005,31.12.8888,,,,,,,,,,,,,,
00P?,,00Ms,00Ib,,       660,000?,000g,0005,??????,????,????,002D,0002,,,01.09.2007,15.11.2009,,,,,,,,,,,0009,?-547,10.11.2009,
00P?,,007M,00Ib,,       661,005j,000g,0005,??????,????,????,001k,0003,220/?,07.10.2002,07.10.2002,31.12.8888,,,,,,,,,,,,,,
00P?,,00JB,00Ib,,       662,005f,000g,0005,??????,????,????,001n,0003,?-60,03.06.2004,03.06.2004,31.12.8888,,,,,,,,,,,,,,
00P?,,00Jp,00Ib,,       663,,000g,0005,??????,????,????,001m,0003,,,01.09.2007,01.12.2007,,,,,,,,,,,,,,
00P?,,00YB,00Ib,,       664,005j,000g,0005,??????,????,????,001k,0003,,,01.09.2007,28.08.2009,,,,,,,,,,,0009,?-414,21.08.2009,
00P?,,00Fl,00Jp,1-15,      0309,005o,000m,0005,??????,????,????,001E,0001,,,01.09.2007,12.02.2009,,,,,,,,,,,0009,?-58,12.02.2009,
00P?,,00Fh,00Jp,,       666,005o,000m,0005,??????,????,????,001E,0001,111,30.08.1993,06.09.1993,31.12.8888,,,,,,,,,,,,,,
00P?,,00Fi,00Jp,,       667,005n,000m,0005,??????,????,????,002Y,000K,?-80,31.05.1995,01.06.1995,31.12.8888,,,,,,,,,,,,,,
00P?,,00Fg,00X1,,       668,007X,001u,0005,??????,????,????,001H,0001,?-114,15.08.1995,18.08.1995,31.12.8888,,,,,,,,,,,,,,
00P?,,00Ld,00Jp,1-15,      2991,005o,000m,0005,??????,????,????,001E,0001,?-75,05.05.2005,11.05.2005,31.12.8888,,,,,,,,,,,,,,
00P?,,00N?,00Jp,,      9055,005o,000m,0005,??????,????,????,001E,0001,?-192,12.10.2005,14.10.2005,31.12.8888,,,,,,,,,,,,,,
00P?,,00FG,00Jp,,       671,005v,000m,0005,??????,????,????,001p,0003,21/?,11.02.2000,14.02.2000,01.12.2013,,,,,,,,,,,0009,?-909,17.12.2013,
00P?,,00FF,00Jp,,       672,005z,000m,0005,??????,????,????,001m,0003,18/?,03.02.2000,04.02.2000,01.12.2013,,,,,,,,,,,0009,?-909,17.12.2013,
00P?,,00Kp,00Jp,,       673,005u,000m,0005,??????,????,????,001n,0003,,,01.09.2007,16.02.2010,,,,,,,,,,,0009,?-66,11.02.2010,
00P?,,00Ff,00S?,,       674,,000m,0005,??????,????,????,000n,0003,,,01.09.2007,02.07.2008,,,,,,,,,,,,,,
00P?,,00Fe,00Jp,,       675,00D?,002?,0005,??????,????,????,001k,0003,?-79,27.06.2002,01.07.2002,31.12.8888,,,,,,,,,,,,,,
00P?,,00FX,00Jp,,       676,005v,000m,0005,??????,????,????,001p,0003,?-22,27.02.2003,03.03.2003,01.12.2013,,,,,,,,,,,0009,?-909,17.12.2013,
00P?,,00CH,00S?,,       677,,000m,0005,??????,????,????,000n,0003,,,01.09.2007,29.02.2008,,,,,,,,,,,,,,
00P?,,00FE,00Jp,,       678,005z,000m,0005,??????,????,????,001m,0003,,,01.09.2007,14.08.2009,,,,,,,,,,,0009,?-402,12.08.2009,
00P?,,00KX,00Jp,,       679,00BS,002r,0005,??????,????,????,000o,0003,?-91,19.08.2004,20.08.2004,31.12.8888,,,,,,,,,,,,,,
00P?,,00Nm,00Jp,,       680,005z,000m,0005,??????,????,????,001m,0003,?-204,12.07.2006,13.07.2006,01.12.2013,,,,,,,,,,,0009,?-909,17.12.2013,
00P?,,00L?,00Jp,,       681,005z,000m,0005,??????,????,????,001m,0003,,,01.09.2007,02.11.2009,,,,,,,,,,,0009,?-565,18.11.2009,
00P?,,00NV,00Jp,,       682,005z,000m,0005,??????,????,????,001m,0003,,,01.09.2007,12.11.2010,,,,,,,,,,,0009,?-561,10.11.2010,
00P?,,00N?,00Jp,,       683,005z,000m,0005,??????,????,????,001m,0003,,,01.09.2007,15.02.2010,,,,,,,,,,,0009,?-61,08.02.2010,
00P?,,00L?,00Jp,,       684,005w,000m,0005,??????,????,????,001h,0003,?-129,03.05.2007,04.05.2007,01.12.2013,,,,,,,,,,,0009,?-909,17.12.2013,
00P?,,00M9,00S?,,       685,,000m,0005,??????,????,????,003o,0003,,,01.09.2007,14.08.2008,,,,,,,,,,,,,,
00P?,,00F2,00Jp,,       686,00Dt,002?,0005,??????,????,????,003V,0002,71,26.05.1988,19.05.1988,31.12.8888,,,,,,,,,,,,,,
00P?,,00Eu,00Jp,,       687,00Dv,002?,0005,??????,????,????,002B,0002,64,13.06.1991,01.06.1991,31.12.8888,,,,,,,,,,,,,,
00P?,,00Ev,00Jp,,       688,005q,000m,0005,??????,????,????,002D,0002,4,05.01.1978,03.01.1978,21.02.2014,,,,,,,,,,,0009,?-119,24.02.2014,
00P?,,00Ew,00Jp,,       689,00DG,002?,0005,??????,????,????,003V,0002,108,19.10.1978,19.10.1978,31.12.8888,,,,,,,,,,,,,,
00Q0,,00F3,00Jp,,       690,005s,000m,0005,??????,????,????,002B,0002,?-168,18.12.1996,19.12.1996,31.12.8888,,,,,,,,,,,,,,
00Q1,,00F4,00Jp,,       691,00Du,002?,0005,??????,????,????,003?,0002,?-168,18.12.1996,19.12.1996,31.12.8888,,,,,,,,,,,,,,
00Q2,,00F9,00Jp,,       692,005q,000m,0005,??????,????,????,002D,0002,181,29.12.1997,05.01.1998,31.12.8888,,,,,,,,,,,,,,
00Q3,,00F1,00c?,,       693,006?,001?,0005,??????,????,????,002G,0002,?-89,16.06.1998,17.06.1998,31.12.8888,,,,,,,,,,,,,,
00Q4,,00Ey,00Jp,,       694,005q,000m,0005,??????,????,????,002D,0002,?-136,26.08.1998,01.09.1998,31.12.8888,,,,,,,,,,,,,,
00Q5,,00Ex,00Jp,,       695,005q,000m,0005,??????,????,????,002D,0002,,,01.09.2007,15.02.2010,,,,,,,,,,,0009,?-66,11.02.2010,
00Q6,,00Ez,00Jp,,      9073,005q,000m,0005,??????,????,????,002D,0002,?-127,16.08.2000,17.08.2000,31.12.8888,,,,,,,,,,,,,,
00Q7,,00F0,00c?,,       697,006?,001?,0005,??????,????,????,003?,0002,?-63,18.05.2002,20.05.2002,31.12.8888,,,,,,,,,,,,,,
00Q8,,0099,00IZ,,       698,008J,001?,0005,??????,????,????,003?,000V,135,20.07.1970,07.08.1980,31.12.8888,,,000i,,,,,,,,,,,
00Q9,,009B,00IZ,,       699,008H,001?,0005,??????,????,????,003Y,000K,26,12.03.1987,02.03.1987,31.12.8888,,,000i,,,,,,,,,,,
00QA,,00IT,00IZ,,       700,008H,001?,0005,??????,????,????,003Y,0001,?-65,01.06.2001,01.06.2001,31.12.8888,,,,,,,,,,,,,,
00QC,,00IU,00IZ,,       702,008J,001?,0005,??????,????,????,003?,000V,88/?,12.09.2003,16.09.2003,31.12.8888,,,,,,,,,,,,,,
