"POSTCH_RN,C,4","POSTBS_RN,C,4","CHSTARTDAT,D","CHENDDATE,D","ISSTAFF,L","SOSTZAT_RN,C,4","GRRBDC_RN,C,4","STQNT,N,6,3","WORKTIMECA,C,1","FZPCALC,C,1","RANKMIN,N,4,0","RANKMAX,N,4,0","WRKRANK_RN,C,4","CHNOMINATI,M","CHGENITIVE,M","CHDATIVE,M","CHACCUSATI,M","CHABLATIVE,M","CHPREPOSIT,M","CHSNOMINAT,C,240","CHSGENITIV,C,240","CHSDATIVE,C,240","CHSACCUSAT,C,240","CHSABLATIV,C,240","CHSPREPOSI,C,240","SPECPOST,C,80","SPECDBL,C,80","ADDSOLPFR,C,1","DOC_RN,C,4","DOC_NUM,C,10","DOC_DATE,D","DOCORG_RN,C,4"
007O,007O,01.11.1945,31.12.8888,??????,,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
007P,007P,01.11.1945,31.12.8888,??????,,,3,?,?,2,3,,,,,,,,,,,,,,,,,,,,
007Q,007Q,01.11.1945,31.12.8888,??????,,,"1,25",?,?,2,3,,,,,,,,,,,,,,,,,,,,
007R,007R,01.11.1945,31.12.8888,??????,,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
007S,007S,01.11.1945,31.12.8888,??????,,,2,?,?,11,16,,,,,,,,,,,,,,,,,,,,
007T,007T,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
007U,007U,01.11.1945,31.12.8888,??????,,,"1,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
007V,007V,01.11.1945,31.12.8888,??????,,,2,?,?,12,17,,,,,,,,,,,,,,,,,,,,
007W,007W,01.11.1945,31.12.2012,????,,,2,?,?,12,17,,,,,,,,,,,,,,,,,,,,
007X,007X,01.11.1945,31.12.8888,??????,0009,,3,?,?,12,17,,,,,,,,,,,,,,,,,,,,
007Y,007Y,01.11.1945,31.12.2012,????,,,2,?,?,9,12,,,,,,,,,,,,,,,,,,,,
007Z,007Z,01.11.1945,31.12.8888,??????,0009,,"4,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
007a,007a,01.11.1945,31.12.8888,??????,0009,,3,?,?,2,3,,,,,,,,,,,,,,,,,,,,
007b,007b,01.11.1945,31.12.8888,??????,0009,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
007c,007c,01.11.1945,31.12.8888,??????,,,1,?,?,12,18,,,,,,,,,,,,,,,,,,,,
007d,007d,01.11.1945,31.12.8888,??????,000m,,2,?,?,11,16,,,,,,,,,,,,,,,,,,,,
007e,007e,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
007f,007f,01.11.1945,31.12.8888,??????,000m,,"3,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
007g,007g,01.11.1945,31.12.8888,??????,,,"2,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
007h,007h,01.11.1945,31.12.2013,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
007i,007i,01.11.1945,31.12.8888,??????,,,1,?,?,4,8,,,,,,,,,,,,,,,,,,,,
007j,007j,01.11.1945,31.12.2013,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
007l,007l,01.11.1945,31.12.8888,??????,,,2,?,?,11,16,,,,,,,,,,,,,,,,,,,,
007m,007m,01.11.1945,31.12.8888,??????,,,3,?,?,8,11,,,,,,,,,,,,,,,,,,,,
007n,007n,01.11.1945,31.12.8888,??????,,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
007o,007o,01.11.1945,31.12.2012,??????,,,"6,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
007p,007p,01.11.1945,31.12.2012,????,0001,,3,?,?,11,16,,,,,,,,,,,,,,,,,,,,
007q,007q,01.11.1945,30.09.2013,??????,0001,,"4,5",?,?,5,9,,,,,,,,,,,,,,,,,,,,
007r,007r,01.11.1945,31.12.2012,??????,0001,,1,?,?,4,5,,,,,,,,,,,,,,,,,,,,
007s,007s,01.11.1945,31.12.2012,??????,0001,,"2,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
007t,007t,01.11.1945,31.12.8888,??????,000m,0002,1,?,?,6,14,,,,,,,,,,,,,,,,,,,,
007u,007u,01.11.1945,31.12.2013,??????,000m,0002,3,?,?,6,13,,,,,,,,,,,,,,,,,,,,
007v,007v,01.11.1945,30.09.2013,??????,000m,0002,11,?,?,3,4,,,,,,,,,,,,,,,,,,,,
007w,007w,01.11.1945,31.12.8888,??????,,,1,?,?,10,15,,,,,,,,,,,,,,,,,,,,
007x,007x,01.11.1945,31.12.8888,??????,,,6,?,?,10,14,,,,,,,,,,,,,,,,,,,,
007y,007y,01.11.1945,31.12.8888,??????,,,1,?,?,4,8,,,,,,,,,,,,,,,,,,,,
007z,007z,01.11.1945,31.12.8888,??????,,,3,?,?,6,11,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,1,?,?,14,15,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,1,?,?,14,15,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.2012,??????,,,3,?,?,6,11,,,,,,,,,,,,,,,,,,,,
007?,007?,01.07.2013,31.12.2013,??????,0006,0002,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.2013,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.2013,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.2013,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,2,?,?,4,8,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,1,?,?,3,3,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.2012,??????,,,4,?,?,3,5,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.2012,??????,,,1,?,?,3,3,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.2012,??????,,,1,?,?,7,8,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,7,?,?,3,4,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,2,?,?,4,6,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,0004,0002,1,?,?,14,15,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,0004,0002,1,?,?,13,14,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,0004,0002,1,?,?,9,9,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,3,?,?,6,11,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,22,?,?,2,2,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,"14,5",?,?,1,2,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,1,?,?,6,6,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,4,?,?,2,10,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,13,?,?,2,10,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.2013,????,,,2,?,?,2,6,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,2,?,?,2,10,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,1,?,?,2,10,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,"8,5",?,?,2,10,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,2,?,?,1,10,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,"28,25",?,?,2,2,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,2,?,?,2,2,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,6,?,?,1,2,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,"5,5",?,?,1,2,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,11,?,?,1,1,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,2,?,?,2,6,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,1,?,?,2,2,,,,,,,,,,,,,,,,,,,,
007?,007?,01.11.1945,31.12.8888,??????,,,8,?,?,1,1,,,,,,,,,,,,,,,,,,,,
0080,0080,01.11.1945,31.12.8888,??????,,,2,?,?,4,6,,,,,,,,,,,,,,,,,,,,
0081,0081,01.11.1945,31.12.8888,??????,,,1,?,?,10,10,,,,,,,,,,,,,,,,,,,,
0082,0082,01.11.1945,31.12.8888,??????,,,11,?,?,2,6,,,,,,,,,,,,,,,,,,,,
0083,0083,01.11.1945,31.12.8888,??????,,,8,?,?,2,2,,,,,,,,,,,,,,,,,,,,
0084,0084,01.11.1945,31.12.8888,??????,,,4,?,?,2,2,,,,,,,,,,,,,,,,,,,,
0085,0085,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
0086,0086,01.11.1945,31.12.8888,??????,,,"0,001",?,?,2,3,,,,,,,,,,,,,,,,,,,,
0087,0087,01.11.1945,31.12.8888,??????,,,"2,5",?,?,5,8,,,,,,,,,,,,,,,,,,,,
0088,0088,01.11.1945,31.12.8888,??????,,,1,?,?,12,12,,,,,,,,,,,,,,,,,,,,
0089,0089,01.11.1945,31.12.8888,??????,,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
008A,008A,01.11.1945,31.12.8888,??????,,,1,?,?,9,11,,,,,,,,,,,,,,,,,,,,
008B,008B,01.11.1945,31.12.8888,??????,,,1,?,?,4,5,,,,,,,,,,,,,,,,,,,,
008C,008C,01.11.1945,31.12.8888,??????,,,"0,5",?,?,7,10,,,,,,,,,,,,,,,,,,,,
008D,008D,01.11.1945,31.12.8888,??????,,,3,?,?,11,14,,,,,,,,,,,,,,,,,,,,
008E,008E,01.11.1945,31.12.2012,??????,,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
008F,008F,01.11.1945,31.12.2012,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
008G,008G,01.11.1945,31.12.2012,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
008H,008H,01.11.1945,31.12.8888,??????,000m,,"3,75",?,?,11,16,,,,,,,,,,,,,,,,,,,,
008I,008I,01.11.1945,31.12.2012,????,,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
008J,008J,01.11.1945,31.12.8888,??????,,,"7,75",?,?,10,16,,,,,,,,,,,,,,,,,,,,
008K,008K,01.11.1945,31.12.8888,??????,,,1,?,?,12,17,,,,,,,,,,,,,,,,,,,,
008L,008L,01.11.1945,31.12.2012,????,0006,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
008M,008M,01.11.1945,31.12.2013,??????,0006,,"2,5",?,?,9,12,,,,,,,,,,,,,,,,,,,,
008N,008N,01.11.1945,31.12.8888,????,000m,,"2,5",?,?,6,10,,,,,,,,,,,,,,,,,,,,
008O,008O,01.11.1945,31.12.2012,??????,0006,,9,?,?,3,4,,,,,,,,,,,,,,,,,,,,
008P,008P,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
008R,008R,01.11.1945,31.12.8888,??????,0006,,"4,75",?,?,8,11,,,,,,,,,,,,,,,,,,,,
008S,008S,01.11.1945,31.12.8888,??????,000P,,1,?,?,14,17,,,,,,,,,,,,,,,,,,,,
008T,008T,01.11.1945,31.12.8888,??????,000P,,8,?,?,12,17,,,,,,,,,,,,,,,,,,,,
008U,008U,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
008V,008V,01.11.1945,31.12.8888,??????,000P,,8,?,?,8,11,,,,,,,,,,,,,,,,,,,,
008W,008W,01.11.1945,31.12.8888,??????,0006,,2,?,?,3,4,,,,,,,,,,,,,,,,,,,,
008X,008X,01.11.1945,31.12.2012,????,0006,,1,?,?,12,17,,,,,,,,,,,,,,,,,,,,
008a,008a,01.11.1945,31.12.2012,????,0006,,1,?,?,12,17,,,,,,,,,,,,,,,,,,,,
008d,008d,01.11.1945,31.12.2012,????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
008f,008f,01.11.1945,31.12.2012,????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
008g,008g,01.11.1945,31.12.2012,????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
008i,008i,01.11.1945,31.12.2013,??????,0006,,"0,5",?,?,11,14,,,,,,,,,,,,,,,,,,,,
008j,008j,01.11.1945,31.12.8888,??????,0006,,"5,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
008k,008k,01.11.1945,31.12.8888,??????,0006,,1,?,?,11,14,,,,,,,,,,,,,,,,,,,,
008l,008l,01.11.1945,31.12.8888,??????,0006,,2,?,?,11,14,,,,,,,,,,,,,,,,,,,,
008m,008m,01.11.1945,31.12.8888,??????,0006,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
008n,008n,01.11.1945,31.12.2012,??????,0006,,2,?,?,9,12,,,,,,,,,,,,,,,,,,,,
008o,008o,01.11.1945,31.12.8888,??????,0006,,4,?,?,6,10,,,,,,,,,,,,,,,,,,,,
008p,008p,01.11.1945,31.12.2011,????,0006,,2,?,?,6,10,,,,,,,,,,,,,,,,,,,,
008q,008q,01.11.1945,31.12.2011,????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
008s,008s,01.11.1945,31.03.2012,????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
008v,008v,01.11.1945,31.12.2012,????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
008w,008w,01.11.1945,31.12.8888,????,0006,,"0,5",?,?,11,14,,,,,,,,,,,,,,,,,,,,
008x,008x,01.11.1945,31.12.8888,????,0006,,3,?,?,6,10,,,,,,,,,,,,,,,,,,,,
008y,008y,01.11.1945,31.12.8888,????,0006,,"0,25",?,?,2,4,,,,,,,,,,,,,,,,,,,,
008z,008z,01.11.1945,31.12.8888,??????,0006,,"1,25",?,?,12,17,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,16.02.2014,??????,0006,,2,?,?,6,10,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,16.02.2014,??????,0006,,"1,5",?,?,2,4,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,000m,,6,?,?,6,11,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,16.02.2014,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0006,,2,?,?,6,11,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0006,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,16.02.2014,??????,0004,0002,1,?,?,5,11,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.2013,????,0006,,1,?,?,6,10,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.2013,??????,0006,,1,?,?,14,15,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.2012,??????,,,1,?,?,5,6,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.2012,????,0006,,1,?,?,9,9,,,,,,,,,,,,,,,,,,,,
008?,008?,10.07.2009,31.12.2012,????,0001,,1,?,?,12,15,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0001,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0001,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0001,,1,?,?,4,4,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0001,,1,?,?,2,10,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0001,,1,?,?,2,10,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0001,,1,?,?,2,2,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0001,,"4,5",?,?,2,2,,,,,,,,,,,,,,,,,,,,
008?,008?,09.07.2009,31.12.2010,??????,0001,,1,?,?,1,1,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,2,,,,,,,,,,,,,,,,,,,,
008?,008?,19.07.2010,31.12.2012,????,0006,,2,?,?,10,10,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.8888,??????,0006,,"0,25",?,?,11,14,,,,,,,,,,,,,,,,,,,,
008?,008?,01.11.1945,31.12.2012,??????,0001,,1,?,?,12,15,,,,,,,,,,,,,,,,,,,,
008?,008?,09.11.2010,31.12.2012,????,0006,,1,?,?,11,11,,,,,,,,,,,,,,,,,,,,
0090,0090,15.11.2010,31.12.2012,????,0006,,"0,25",?,?,12,18,,,,,,,,,,,,,,,,,,,,
0093,0093,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,2,,,,,,,,,,,,,,,,,,,,
0095,0095,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,14,18,,,,,,,,,,,,,,,,,,,,
0096,0096,01.01.2011,31.12.2012,??????,0006,,"0,5",?,?,9,14,,,,,,,,,,,,,,,,,,,,
0097,0097,01.11.1945,31.12.8888,??????,,,1,?,?,1,1,,,,,,,,,,,,,,,,,,,,
0098,0098,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
009A,009A,01.11.1945,31.12.8888,??????,0008,,1,?,?,12,15,,,,,,,,,,,,,,,,,,,,
009B,009B,01.11.1945,31.12.8888,??????,,,1,?,?,12,18,,,,,,,,,,,,,,,,,,,,
009I,009I,01.11.1945,31.12.8888,??????,,,1,?,?,12,18,,,,,,,,,,,,,,,,,,,,
009J,009J,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
009K,009K,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
009L,009L,01.11.1945,31.12.8888,??????,0006,,"13,75",?,?,4,4,,,,,,,,,,,,,,,,,,,,
009R,009R,01.11.1945,31.12.8888,??????,,,2,?,?,11,18,,,,,,,,,,,,,,,,,,,,
009S,009S,24.03.2011,31.12.2013,??????,,,"0,5",?,?,11,11,,,,,,,,,,,,,,,,,,,,
009T,009T,06.04.2011,31.12.2013,????,,,1,?,?,11,11,,,,,,,,,,,,,,,,,,,,
009U,009U,01.07.2011,31.12.8888,??????,0006,,1,?,?,12,18,,,,,,,,,,,,,,,,,,,,
009W,009W,01.11.1945,31.12.8888,??????,0006,,9,?,?,6,10,,,,,,,,,,,,,,,,,,,,
009Y,009Y,01.11.1945,31.12.2012,????,0006,,1,?,?,11,11,,,,,,,,,,,,,,,,,,,,
009Z,009Z,11.11.1945,31.12.2012,????,0006,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
009a,009a,01.11.1945,31.12.2012,????,0006,,1,?,?,10,10,,,,,,,,,,,,,,,,,,,,
009i,009i,01.11.1945,31.12.8888,??????,000m,,1,?,?,13,17,,,,,,,,,,,,,,,,,,,,
009j,009j,01.11.1945,31.12.8888,??????,0006,,1,?,?,13,16,,,,,,,,,,,,,,,,,,,,
009k,009k,01.11.1945,31.12.8888,??????,0006,,2,?,?,3,7,,,,,,,,,,,,,,,,,,,,
009l,009l,01.11.1945,31.12.8888,??????,0006,,7,?,?,8,11,,,,,,,,,,,,,,,,,,,,
009m,009m,01.11.1945,31.12.8888,??????,0006,,6,?,?,2,4,,,,,,,,,,,,,,,,,,,,
009n,009n,01.11.1945,31.12.8888,??????,0006,,6,?,?,11,16,,,,,,,,,,,,,,,,,,,,
009r,009r,01.07.2011,31.12.2013,????,0006,,1,?,?,11,18,,,,,,,,,,,,,,,,,,,,
009s,009s,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,12,17,,,,,,,,,,,,,,,,,,,,
009t,009v,01.11.1945,31.12.8888,??????,,,1,?,?,12,18,,,,,,,,,,,,,,,,,,,,
009x,009z,01.11.2011,31.12.8888,??????,0006,000G,1,?,?,13,16,,,,,,,,,,,,,,,,,,,,
009y,009?,01.11.1945,31.12.8888,??????,000m,0002,4,?,?,6,13,,,,,,,,,,,,,,,,,,,,
009z,009?,01.11.2011,31.12.2013,??????,0006,000G,5,?,?,11,14,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,0006,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
009?,009?,01.01.2012,31.12.2012,????,0006,000G,"0,5",?,?,11,11,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,16.02.2014,??????,,,3,?,?,2,2,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,0006,0002,"0,5",?,?,11,14,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.2013,??????,,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,000P,,2,?,?,3,4,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.2013,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,,,"3,5",?,?,3,4,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,0006,,"14,25",?,?,3,5,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,,,"2,5",?,?,3,4,,,,,,,,,,,,,,,,,,,,
009?,009?,01.11.1945,31.12.8888,??????,0006,,2,?,?,3,4,,,,,,,,,,,,,,,,,,,,
009?,00A0,01.11.1945,31.12.8888,??????,,,4,?,?,3,4,,,,,,,,,,,,,,,,,,,,
009?,00A1,01.11.1945,31.12.8888,??????,,,1,?,?,12,18,,,,,,,,,,,,,,,,,,,,
009?,00A3,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
009?,00A4,01.07.2013,31.12.2013,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
009?,00A5,01.11.1945,31.12.8888,??????,000m,,1,?,?,4,8,,,,,,,,,,,,,,,,,,,,
009?,00A7,01.11.1945,31.12.2012,????,0006,0002,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00A0,00A8,23.04.2012,31.12.8888,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00A1,00AD,28.06.2012,31.12.2012,????,0006,,"0,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
00A3,00AF,01.01.1945,16.02.2014,??????,0006,0002,2,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00A4,00AG,01.01.1945,31.12.8888,??????,000m,,1,?,?,8,12,,,,,,,,,,,,,,,,,,,,
00A5,00AH,01.11.1945,31.12.8888,??????,,,"1,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00A6,00AI,01.11.1945,16.02.2014,????,0006,0002,"0,25",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00A7,00AJ,01.11.1945,31.12.8888,??????,,,1,?,?,11,15,,,,,,,,,,,,,,,,,,,,
00A8,00AK,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00A9,00AL,23.04.2012,23.04.2012,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00AA,00AM,30.10.2012,31.12.2012,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00AB,00AN,30.10.2012,31.12.2012,??????,,,1,?,?,10,14,,,,,,,,,,,,,,,,,,,,
00AC,00AQ,01.11.1945,31.12.8888,??????,,,"5,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
00AD,00AR,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00AE,00AS,07.12.2012,30.06.2013,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00AF,00AT,01.11.1945,31.12.2013,??????,,,5,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00AH,00AW,01.11.1945,31.12.8888,??????,,,3,?,?,4,4,,,,,,,,,,,,,,,,,,,,
00AI,00AX,01.11.1945,31.12.8888,??????,0008,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00AJ,00AY,01.11.1945,31.12.8888,??????,0006,,"1,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00AK,00AZ,01.11.1945,31.12.8888,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00AL,00Aa,01.11.1945,31.12.8888,??????,,,1,?,?,8,12,,,,,,,,,,,,,,,,,,,,
00AM,00Ab,01.11.1945,31.12.2012,??????,000m,000G,1,?,?,5,9,,,,,,,,,,,,,,,,,,,,
00AO,00Ag,01.11.1945,31.12.8888,??????,,,1,?,?,12,16,,,,,,,,,,,,,,,,,,,,
00AP,00Ai,01.11.1945,31.12.8888,??????,000m,,4,?,?,11,18,,,,,,,,,,,,,,,,,,,,
00AQ,00Aj,01.11.1945,31.12.8888,??????,000m,,4,?,?,5,9,,,,,,,,,,,,,,,,,,,,
00AR,00Al,01.11.1945,31.12.8888,??????,,,1,?,?,4,5,,,,,,,,,,,,,,,,,,,,
00AS,00Am,01.11.1945,31.12.2013,??????,,,"1,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00AT,00Ap,01.11.1945,31.12.8888,??????,,,4,?,?,0,0,,,,,,,,,,,,,,,,,,,,
